 
Rerun routine. 
GMM =         5.63084256
time =        56.81300140
 data and simulated moments 
scommiles      8.66691216      8.50697878
shcommiles_dif     -2.70849410     -2.69876975
swcommiles_difw     -0.29730105     -0.09185413
whours_pww_dif   -671.54653071   -720.58182725
hhours_pww   2206.54212703   2130.33305765
hhours_pwn_dif     63.10283874    209.66697623
shours   1873.12607014   1884.05266852
whwk_pww    973.91420861   1021.70530116
whwk_pwn_dif    683.00321900    670.34610566
hhwk_pww_dif   -604.50613192   -630.76359894
hhwk_pwn_difhpww    -50.52416769   -115.00552908
shwk    495.34145666    494.15457101
wlfp_dif     -0.22074336     -0.15091593
hlfp      0.97377889      0.95403921
wagegap_hw_withn     -0.24397495     -0.24351494
hdj     20.27689349     20.25005022
hdo     20.02657681     20.15671250
d_jobjob_all_psid     17.30000361     15.36790749
d_jobjob_hwithin_psid     16.26666944     14.84999496
d_jobjob_hw_actual      9.74049414     11.43696195
scity_dif      0.07038010      0.09396604
sdo_dif     -1.69306874     -1.47212930
wdo_dif      0.02794151      0.07567499
abs_hdo_wdo      1.86223858      1.87500664
betacom_w     -0.10535006     -0.12054021
betalfp_w     -0.00158860     -0.00568465
betahrs_w     -2.48452209     -2.86544762
betahrs0_w     -5.14604086     -8.24321709
betahwk_w      3.28461779      4.93167508
betacom      0.70642426      0.99664820
betalfp     -0.00192247     -0.00360766
betahrs     -4.93468120    -18.72959411
betahrs0     -5.46210312    -23.91107805
betahwk     -1.06397872      2.26677531
betalwg_w     -0.00117863     -0.00139862
sdj_dif     -1.40987482     -1.37899384
shouseexp      0.19300000      0.19788785
scity      0.39191477      0.33194921
sjobscity      0.49779057      0.60799073
p_gradient     -0.00876873     -0.00684590
p_gradient_simple      0.07276506      0.10043805
snmarried      0.14490000      0.14491376
L      0.53600000      0.54961617
clmm      0.00000000     -0.04126926
 
 data and simulated moments: and dif and weighted dif 
 
Rerun routine. 
GMM =         5.63084256
time =        45.30406020
 data and simulated moments 
scommiles      8.66691216      8.50697878
shcommiles_dif     -2.70849410     -2.69876975
swcommiles_difw     -0.29730105     -0.09185413
whours_pww_dif   -671.54653071   -720.58182725
hhours_pww   2206.54212703   2130.33305765
hhours_pwn_dif     63.10283874    209.66697623
shours   1873.12607014   1884.05266852
whwk_pww    973.91420861   1021.70530116
whwk_pwn_dif    683.00321900    670.34610566
hhwk_pww_dif   -604.50613192   -630.76359894
hhwk_pwn_difhpww    -50.52416769   -115.00552908
shwk    495.34145666    494.15457101
wlfp_dif     -0.22074336     -0.15091593
hlfp      0.97377889      0.95403921
wagegap_hw_withn     -0.24397495     -0.24351494
hdj     20.27689349     20.25005022
hdo     20.02657681     20.15671250
d_jobjob_all_psid     17.30000361     15.36790749
